City,Latitude,Longitude,Precipitation,Max_Reservoir_Fill,Flood_Risk,Confidence
Rajgurunagar,18.8667,73.7667,124.29999999999998,0.0,0,0.987
Ambegaon,19.0,73.7167,146.2,0.0,0,0.987
Junnar,19.2,73.8833,107.9,0.0,0,0.987
Narayangaon,19.1,73.9833,47.3,0.0,0,0.987
Manchar,19.0333,73.9167,49.9,0.0,0,0.987
Ghodegaon,18.6667,73.7667,63.69999999999999,0.0,0,0.987
Shirur,18.8167,74.3667,32.99999999999999,0.0,0,0.986
Daund,18.4667,74.5833,17.700000000000003,0.0,0,1.0
Indapur,18.1167,75.0167,25.4,0.0,0,1.0
Purandar,18.3,73.9833,24.90000000000001,0.0,0,0.987
Velhe,18.2833,73.6167,243.8,0.0,0,0.966
Mulshi,18.5333,73.5,249.9,0.0,0,0.966
Haveli,18.4167,73.8167,43.2,0.0,0,0.987
Maval,18.7167,73.5333,182.5,0.0,0,0.987
Dapoli,17.7667,73.1833,378.9,0.0,0,0.97
Mandangad,17.8667,73.0667,406.3999999999999,0.0,0,0.966
Kankavli,16.2667,73.7,315.3,0.0,0,0.973
Kudal,16.0167,73.6833,282.1,0.0,0,0.968
Sawantwadi,15.9,73.8167,289.0,0.0,0,0.975
Dodamarg,15.7333,73.8167,386.7000000000001,0.0,0,0.963
Vengurla,15.8667,73.6167,327.3999999999999,0.0,0,0.961
Malvan,16.0667,73.4667,326.7,0.0,0,0.966
Devgad,16.3833,73.3833,387.3,0.0,0,0.966
Vaibhavwadi,16.5167,73.7333,303.5,0.0,0,0.973
Lanja,16.8667,73.55,382.9000000000001,0.0,0,0.97
Rajapur,16.65,73.5167,322.1,0.0,0,0.973
