city,district,date,year_week,source_url,severity
Thane,,2019-08-05,2019-31,https://news.google.com/rss/articles/CBMiugFBVV95cUxNN2c4S1hBbDBQbXBnNFE4VUNLTnlfNW5OM0xuZjJxaHdzRUZIMEJuN0ViamJBWFIzUFh0MWdGQ2VmbUcxY3FiU1VoTzdvZFRoMmptZjhyWENvZ2Z3am1QeFF6eEtvVWZqVjFWZkJpczRYSDhTbGpkeEtQVkE3cU40eWl2WTFrYjRsZzB1UU9tU0hGR3pkQWpCTVVtLXpoSlZmRElBc01uZXBxX0NDVlFRNHBUeFdXNHRzOXc?oc=5,High
Mulshi,,2019-08-05,2019-31,https://news.google.com/rss/articles/CBMiywFBVV95cUxNXy1ncW9jZ0VqQUY4c04tZml3LVBoTFg2RURmZjJSRDduMjREaFVYblFURzRZRDlINktIOHJ1SWxIdWl2NU9QYjFiWldjUGpWMnVNeWxKN0xPT0pULUhDVHFtX0lFczRGdDJwa0Uxb2g2aTdkTGZHZmJXYzJ3ODNFNzE4SmNZblJGYW8tc3RFMnI3bURtQ0kxaXZ3cWo4eE51Qmh4RFhfUThyQWozS0RDWGJqYWJEOVppVW9tMndyd0NkOGMxOFZTdGxta9IB0AFBVV95cUxNaTdrNEo2WS1lUXZKOWZncEl3cDhESjNtX09OYzBjdUFUT0RWaDFBTU10OU5ZellqQjFaRlpVTFlSWEUxanBfZ3d5NXpFUHZESkZsR3VJR05ab0R2c3hvVEQ4VFhjOFJqc1ZEdnk1SE1HMExVZUZERV9BWXZ6ZDNxMWhFT0dWdWo4SkhFT1k4NEFJVkJPdXRFUTBWQW1EZ0xDY1lockl2cHZlMlA5WG9XQVRRbGlFempWdUVrU21MRmF1cEVDWjJKU3JZQlpaRHhw?oc=5,High
Sindhudurg,,2019-08-07,2019-31,https://news.google.com/rss/articles/CBMiywFBVV95cUxOOTAwLVFDRHBud1FjVG1rUWhydVQxOVV3RWJDTUk3TnA4NWcwTFR2bFFQWnoxV21KQU9YUXc3QVppenNuaTlHWFI5b2xuN29RaE9YQ2FfV2pRZU9UdjVFdHdabzhDLXFXWFROUVZUcjVFQ0oya1JZUUg0QkxYQ0lpc0Mwb1FrOHc2bFhfMFRrZXFiQWttRmdmWlJEbmt2OHRhbUJwN0xpdm92aHdkY2EycmlUVlVqMWJBaHFyeWRTR0ZtY3Z3eElRVW9OTdIB0gFBVV95cUxQYTl6UE00TDAxWm1rWTdUb0w1d3g4eWhLNnAtaFFwb0RXYnlNSjBqZG1RZlhLQ2JyaFR5Z2hFRXVtb2ZxQ01qdGF5NFVxSUk4ckQycVhnZ2JaMUxtaXV5ZHpSb0pGREJ4aEQtcjNGa0tXYnBrZ0VVblNTOHZvQTZpM0JqWmdRSEdBX2Jyam44eDlPeDBYSnQ3VEx1cUJVQXJVZ280cFpsaFE3djEyVWtjdW01YXJ5cmt1YmJDb0xjdXB0UEtsTTdwcUFHcTVkRXFVUEE?oc=5,High
Dodamarg,,2019-08-07,2019-31,https://news.google.com/rss/articles/CBMiywFBVV95cUxOOTAwLVFDRHBud1FjVG1rUWhydVQxOVV3RWJDTUk3TnA4NWcwTFR2bFFQWnoxV21KQU9YUXc3QVppenNuaTlHWFI5b2xuN29RaE9YQ2FfV2pRZU9UdjVFdHdabzhDLXFXWFROUVZUcjVFQ0oya1JZUUg0QkxYQ0lpc0Mwb1FrOHc2bFhfMFRrZXFiQWttRmdmWlJEbmt2OHRhbUJwN0xpdm92aHdkY2EycmlUVlVqMWJBaHFyeWRTR0ZtY3Z3eElRVW9OTdIB0gFBVV95cUxQYTl6UE00TDAxWm1rWTdUb0w1d3g4eWhLNnAtaFFwb0RXYnlNSjBqZG1RZlhLQ2JyaFR5Z2hFRXVtb2ZxQ01qdGF5NFVxSUk4ckQycVhnZ2JaMUxtaXV5ZHpSb0pGREJ4aEQtcjNGa0tXYnBrZ0VVblNTOHZvQTZpM0JqWmdRSEdBX2Jyam44eDlPeDBYSnQ3VEx1cUJVQXJVZ280cFpsaFE3djEyVWtjdW01YXJ5cmt1YmJDb0xjdXB0UEtsTTdwcUFHcTVkRXFVUEE?oc=5,High
Kalyan,,2019-08-07,2019-31,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQcld3QXRpYjdhQzF6Sk1PeVhXWkEyckJ5eXg5OUZwNHBYRGo3bFJsWlF0TTM5ejFtemQ5RzIzcFdpRmJiSUIzeDZFakNOYWZaNmlfUFRfcmpTLUxEOW9tcDNpWlMycTRYT1BKc2JvWTFYbHhNdzdMLW9sVWF2bnNCRGdpVGhCLW5IQXUySFY0UnRBTzJfWG40QTZIZkl4bzE2RHpOZmxoUGtyR0NaSDhKS0pqZ3dVQ3VqOEpqMDFLNC1FLXJBODB2UlM5RkN5RlN6cGlISHI2SFBwd9IB3wFBVV95cUxNWTRQeDFyN1h2c1QyY0FXWjJoZElja1Utb1NQTTZ1QlZKcDdhU1JVT04tWDRKemJvenlNNW5mY3NXTnYza0RlNzhlaDJ5QTg4d0RmbTcxa0dDME1NLWFMWUVxRUZBUVktRjdta2xacmZOTlNscmlPa0N0TUNDZnV5REtseGJaMzJfYlJ3OU80T3RYNHhMQWxZdXBpcHRXc0lzZWxjXy11TnctY2NoazBYS2xraHhZNHJscU14a3RsZ0U3LWlnZFVrVEtWZkUzWXhkSE5HamRrRnE3Rk9yZEM0?oc=5,High
Ahmednagar,,2019-08-07,2019-31,https://news.google.com/rss/articles/CBMiywFBVV95cUxOOTAwLVFDRHBud1FjVG1rUWhydVQxOVV3RWJDTUk3TnA4NWcwTFR2bFFQWnoxV21KQU9YUXc3QVppenNuaTlHWFI5b2xuN29RaE9YQ2FfV2pRZU9UdjVFdHdabzhDLXFXWFROUVZUcjVFQ0oya1JZUUg0QkxYQ0lpc0Mwb1FrOHc2bFhfMFRrZXFiQWttRmdmWlJEbmt2OHRhbUJwN0xpdm92aHdkY2EycmlUVlVqMWJBaHFyeWRTR0ZtY3Z3eElRVW9OTdIB0gFBVV95cUxQYTl6UE00TDAxWm1rWTdUb0w1d3g4eWhLNnAtaFFwb0RXYnlNSjBqZG1RZlhLQ2JyaFR5Z2hFRXVtb2ZxQ01qdGF5NFVxSUk4ckQycVhnZ2JaMUxtaXV5ZHpSb0pGREJ4aEQtcjNGa0tXYnBrZ0VVblNTOHZvQTZpM0JqWmdRSEdBX2Jyam44eDlPeDBYSnQ3VEx1cUJVQXJVZ280cFpsaFE3djEyVWtjdW01YXJ5cmt1YmJDb0xjdXB0UEtsTTdwcUFHcTVkRXFVUEE?oc=5,High
Kolhapur,,2019-08-08,2019-31,https://news.google.com/rss/articles/CBMi_wFBVV95cUxQNTI4RzRuWVBzckstcUN3YVdaOGpERXhON25nWWxXNGhoTHNUcTRheXljcG9iRDB5aUFYRjRmb3Y3Umphb1g0QTRjb0VucG5uRnJhRTM0SkJUTUlyS0hMTEVyRlk1YlhlMk54UkxQZVUzMXlvMVNpT2ZPaVpLeDhabXRHLXREM0V2S3VnQzFDOHFFWjN0YjltUTc0VVVhTHJTNEFqUjQ1VFpLNzRHYTNWbENEa0E0dXNvX01TS1ZpcVIxUUF4UFNkaEJRbDU4a2hDNkZoT2pvbW9ydWF2WGJIdEN0S0ttRVlJOHNJRWVpRWtfcmx5ejRLb08wOV96Z1U?oc=5,High
Wai,,2019-08-08,2019-31,https://news.google.com/rss/articles/CBMihwJBVV95cUxPcDRfQTg1UjhmczZFeUhuYTRnSU9CZzNvRVU4SGNDT3FoanJ4cmU5d2tNRlNUSWxTR1FGYjItUmpGVE5xMF9aRkxvb1JxLTRJeWVkM0FNNW9CQld2eGNZdE54QktMRGZvNEViSWhhSHlCdUZpX3gxUUFLTXpHX1AxTkFjR1czekVfeFhtUEc3Qko5QWhhZ3oxZnY4M1pSeEJsRHNzdm95NFBlX3czdzBmUzU4anJBTEJldkxWaGVCV3NNUVFPM0hCMElfZ094b2xWcHNnTVRCQlRfR09jNGU1S1ZFaFI0V0I2aUd5UTI5ODB3RTAwS3BoUTJRNHptMVk3M3dJVXNqMNIBjAJBVV95cUxQT0ZhTGpXUkZGUWt1TU5LMlEtYmw1NDk0ZGpramZ0S3N5X1RvNVp2RWx2NVRWYmt4V3JNalp5eDc3cGJlYWthUVgtdG9wWHpucC03ckV2N3hUMDNpZGxLMDZOZUctcm94bFRzV0ZqZGJkYzRZUHRhWVRCT1NrVTNra015VUx3d3BodF9QM0h2c3VUT2lLb21ocVlzSWlic0t3Y0JqajBhM1BQNF9oN1JPd2E0QlVTQkF3OFhNTTBRcDhETHpHTXhScDVWVm40LXZnRkxENERFQnQ2M1R4N3dvMU5rTWtlZUoyOXdOTTE4UzZYLW0tVFB3eWVGSHdWcXlrR1RnZDJiRFhlMFEy?oc=5,High
Virar,,2019-08-09,2019-31,https://news.google.com/rss/articles/CBMivAFBVV95cUxPY3NNWkZmd3Zoak1MbzRUUWhUV0FiWVBWQkZidndhX20zd1YxNk5Sb3dIQ2Vxc0dqUEhtM0ZXTUViTy1sUXlab3J4cDhGOU12eWIzaVdCQ1UwdHg0eF82bk5uUGNYVkE2a1dZdlMyWVFxdnk1RnRFd0tXZEtZR3NBUkRKUE43WEU5XzZMT1FmNWxqdXBiTGJRSllNZE5vWnFjN0RvNXNGbXBRem9pb04xNm9KZC1USFI4UkJBdg?oc=5,High
Wardha,,2019-08-09,2019-31,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOYURnV0pGRTA5dUpYM2RTUlRWOV9rU2ZQa0EwWHYtR2Z1OXFhenFGd1RaQTBVNzVSSzh1S3E3OXdWY2E3dktZSEx1MGJBQnlrWVZSd1RQbEI1cUs4WjdlNS1JLTZ6NjFTVVU1QmNHVERod1FoQnZpUlphOWt4Ymp3U0g2Z2dBRmFjUkUtbGwxa0M0QzFHTXpxb1U1djVVOUo1U3ZxdDF1UW1rY0VMWjl6UzFXN3NSN1lnQ1Ywek9NREJxdTdqNkNRY0ZTT3Nsal9ER2VOQzF1dzdjQQ?oc=5,High
