temp_avg,temp_max,wind_speed,cloud_cover,precipitation,humidity,precip_cover,avg_reservoir_fill,max_reservoir_fill,reservoir_risk_score,reservoirs_above_danger,flood_class
23.899999999999995,30.6,15.681249999999999,36.875,4.0,60.0,31.25,92.73,97.07,7,3,1
24.68125,31.8,14.775,55.75,7.6,54.3125,18.75,73.58,90.53,4,2,1
23.15,31.2,15.512500000000001,28.0625,3.3000000000000003,42.3125,12.5,80.92,89.87,3,1,0
24.8625,30.1,24.05,78.0625,61.3,80.875,100.0,19.77,42.83,0,0,0
24.70625,30.1,20.01875,96.625,154.6,81.875,100.0,17.04,33.66,0,0,0
24.756249999999998,33.3,18.69375,12.375,0.1,39.6875,6.25,81.35,91.99,3,1,1
26.3875,36.0,22.2,90.1875,93.2,72.8125,87.5,33.07,53.45,0,0,0
23.66875,29.1,22.35625,88.875,57.3,84.5625,100.0,96.62,100.0,8,3,1
32.34375,40.4,23.04375,11.875,0.0,35.625,0.0,2.36,3.61,0,0,0
28.7125,37.4,24.012500000000003,57.125,42.8,59.625,62.5,31.44,46.93,0,0,0
22.637500000000003,30.3,15.79375,45.5625,31.000000000000004,74.6875,68.75,62.22,75.77,0,0,0
27.5375,37.4,17.875000000000004,33.5,5.5,42.25,37.5,60.54,72.81,0,0,0
24.2875,30.4,13.006250000000001,83.25,139.4,83.75,93.75,98.81,99.3,8,3,1
23.9125,29.0,14.70625,77.0,90.7,85.1875,87.5,99.9,100.0,8,3,1
23.974999999999998,29.1,10.862500000000002,60.3125,109.00000000000001,81.125,81.25,99.9,100.0,8,3,1
29.475000000000005,37.6,19.900000000000002,36.0625,2.0,33.375,18.75,51.71,55.54,0,0,0
26.85625,32.2,16.75,69.3125,86.00000000000003,82.0625,93.75,73.06,73.06,1,0,0
29.068750000000005,39.1,14.750000000000002,8.9375,0.0,25.125,0.0,66.3,66.3,0,0,0
33.925,42.4,21.10625,23.75,0.1,41.5,6.25,27.1,27.1,0,0,0
25.087500000000002,32.7,9.856250000000001,24.625,38.599999999999994,70.4375,18.75,100.0,100.0,6,1,1
27.231250000000003,35.3,21.150000000000002,89.4375,356.9,82.4375,100.0,19.14,19.14,0,0,0
23.16875,31.6,10.90625,36.3125,13.6,60.0625,31.25,93.92,93.92,4,1,1
29.81875,38.7,18.25,76.5,60.9,64.8125,81.25,17.88,17.88,0,0,0
22.831249999999997,30.8,12.000000000000002,21.75,2.3000000000000003,66.5625,31.25,99.04,99.04,6,1,1
35.00625,45.8,17.581249999999997,17.125,0.0,21.1875,0.0,3.29,3.29,0,0,0
25.71249999999999,32.9,11.8875,65.3125,96.4,79.1875,68.75,100.0,100.0,6,1,1
26.29375,35.8,13.218750000000002,9.0,0.1,35.375,6.25,77.76,77.76,1,0,0
25.11875,30.4,10.93125,64.375,106.2,86.125,87.5,100.0,100.0,6,1,1
33.29375,43.7,17.71875,22.1875,1.3,34.375,12.5,51.06,51.06,0,0,0
22.93125,29.8,11.51875,35.0,2.1,69.75,31.25,100.0,100.0,6,1,1
20.41875,30.2,12.631250000000001,5.5,0.1,58.9375,6.25,92.94,92.94,4,1,1
23.40625,34.8,10.93125,10.75,0.0,45.0,0.0,78.24,78.24,1,0,0
